ID_FOTO,NOMBRE_ARCHIVO,FORMATO,FECHA_CAPTURA,HORA_CAPTURA,MARCO_TEMPORAL,EVENTO_ESPECIFICO,LUGAR,PARTICIPANTE,PRACTICA,DESCRIPCION,ANGULO,PERSONAS,OBJETOS,ESTADO,URL_GITHUB,NOTAS
IMG_001,ejemplo_001.jpg,image/jpeg,2025-06-15,07:30,Dia2_DomingoPartida,MisaInicial_Paucartambo_2025,IglesiaPaucartambo,NacionPaucartambo,Misa,Ukumaris arrodillados durante misa de envío,Interior,15,velas,cruces,Por subir,,Foto tomada desde el coro
IMG_002,ejemplo_002.jpg,image/jpeg,2025-06-15,08:45,Dia2_DomingoPartida,RomeriaPaucartambo_2025_06_15,CementerioPaucartambo,NacionPaucartambo,Romeria,Ukumaris rezando frente a tumbas,Exterior,8,flores,velas,Por subir,,Buen día, luz natural
IMG_003,ejemplo_003.jpg,image/jpeg,2025-06-15,12:15,Dia2_DomingoPartida,RitualVestimentaDanzantes_2025,PlazaPaucartambo,Ukumaris_Paucartambo_2025,Vestimenta,Ukumari ayudando a otro con máscara,Detalle,2,mascara,traje,Por subir,,Enfoque en las manos
IMG_004,ejemplo_004.jpg,image/jpeg,2025-06-15,14:30,Dia2_DomingoPartida,ParadaHuancarani_2025,Huancarani,NacionPaucartambo,Espera,Grupo completo esperando en cruce vial,Panorámica,25,vehículos,mochilas,Por subir,,Vista general
IMG_005,ejemplo_005.jpg,image/jpeg,2025-06-15,15:20,Dia2_DomingoPartida,VisitaIglesiaCcatcca_2025,IglesiaCcatcca,Ukumaris_Paucartambo_2025,Visita,Ukumaris entrando en procesión a iglesia,Exterior,12,sorriagos,cruces,Por subir,,Secuencia de entrada
IMG_006,ejemplo_006.jpg,image/jpeg,2025-06-15,16:45,Dia2_DomingoPartida,ComidaCcatcca_2025,PlazaCcatcca,Ukumaris_Paucartambo_2025,Comida,Grupo compartiendo asado con mote,Exterior,10,comida,platos,Por subir,,Momento de camaradería
IMG_007,ejemplo_007.jpg,image/jpeg,2025-06-15,18:30,Dia2_DomingoPartida,PasoCasaPrioste,CasaPriosteOcongate,NacionPaucartambo,Visita,Recepción por el prioste con mate caliente,Interior,5,mate,vasijas,Por subir,,Interior de casa
IMG_008,ejemplo_008.jpg,image/jpeg,2025-06-16,05:30,Dia3_LunesAscenso,Caminata_Mahuayani_Santuario_2025,Mahuayani,Ukumaris_Paucartambo_2025,Viaje,Ascenso a pie al santuario al amanecer,Exterior,8,mochilas,bastones,Por subir,,Amanecer
IMG_009,ejemplo_009.jpg,image/jpeg,2025-06-16,10:15,Dia3_LunesAscenso,MisaUkukus_2025,SantuarioQoylluriti,Ukumaris_Paucartambo_2025,Misa,Ukumaris arrodillados en misa especial,Exterior,40,,glaciar,Por subir,,Vista con glaciar al fondo
IMG_010,ejemplo_010.jpg,image/jpeg,2025-06-16,11:30,Dia3_LunesAscenso,Pachakunapata,Pachakunapata,NacionPaucartambo,Espera,Espera ceremonial antes de entrada,Exterior,30,banderas,insignias,Por subir,,Momento solemne
IMG_011,ejemplo_011.jpg,image/jpeg,2025-06-16,23:30,NocheLunesMartes_Glaciar,SubidaColquePunku_2025,ColquePunku,Ukumaris_Paucartambo_2025,AscensoDescenso,Ascenso nocturno al glaciar con antorchas,Noche,5,antorchas,crampones,Por subir,,Foto nocturna
IMG_012,ejemplo_012.jpg,image/jpeg,2025-06-17,09:15,Dia4_MartesDescensoYLomada,BajadaColquePunku_2025,ColquePunku,Ukumaris_Paucartambo_2025,AscensoDescenso,Descenso del glaciar al amanecer,Exterior,8,nieve,palas,Por subir,,Amanecer hermoso
IMG_013,ejemplo_013.jpg,image/jpeg,2025-06-17,10:30,Dia4_MartesDescensoYLomada,RitualMachuCruz_2025,MachuCruz,NacionPaucartambo,Comida,Grupo comiendo maíz y queso en despedida,Detalle,6,comida,cruz,Por subir,,Ritual simbólico
IMG_014,ejemplo_014.jpg,image/jpeg,2025-06-17,11:45,Dia4_MartesDescensoYLomada,RitualDespedida_Yanaqocha_2025,Yanaqocha,NacionPaucartambo,Despedida,Abrazos y despedidas en la laguna,Exterior,4,,laguna,Por subir,,Momento emocional
